endpoint,allowed_http_methods,argument_count,arguments,return_type,auto_settings_capable,permissions_required,has_doc_string
get_blacklist,GET,1,blacklist_id,<class 'rcon.types.BlacklistWithRecordsType'>,true,api.can_view_blacklists,true
get_blacklist_records,GET,6,player_id|reason|blacklist_id|exclude_expired|page_size|page,,true,api.can_view_blacklists,false
get_blacklists,GET,0,,list[rcon.types.BlacklistType],true,api.can_view_blacklists,true
get_broadcast_message,GET,0,,str | bytes | None,true,api.can_view_broadcast_message,true
get_camera_discord_webhooks_config,GET,0,,<class 'rcon.user_config.webhooks.CameraWebhooksUserConfig'>,true,api.can_view_camera_discord_webhooks_config,false
get_camera_notification_config,GET,0,,<class 'rcon.user_config.camera_notification.CameraNotificationUserConfig'>,true,api.can_view_camera_config,false
get_chat_commands_config,GET,0,,,true,api.can_view_chat_commands_config,false
get_chat_discord_webhooks_config,GET,0,,<class 'rcon.user_config.webhooks.ChatWebhooksUserConfig'>,true,api.can_view_chat_discord_webhooks_config,false
get_connection_info,GET,0,,,false,api.can_view_connection_info,false
get_date_scoreboard,GET,2,start|end,,true,api.can_view_date_scoreboard,false
get_detailed_player_info,GET,2,player_id|player,<class 'rcon.types.GetDetailedPlayer'>,true,api.can_view_detailed_player_info,false
get_detailed_players,GET,0,,<class 'rcon.types.GetDetailedPlayers'>,true,api.can_view_detailed_players,false
get_expired_vip_config,GET,0,,<class 'rcon.user_config.expired_vips.ExpiredVipsUserConfig'>,true,api.get_expired_vip_config,false
get_gamestate,GET,0,,<class 'rcon.types.GameStateType'>,true,api.can_view_gamestate,true
get_historical_logs,GET|POST,10,player_name|player_id|action|limit|from_|till|time_sort|exact_player_match|exact_action|server_filter,,true,api.can_view_historical_logs,false
get_historical_logs_csv,GET|POST,0,,,false,api.can_view_historical_logs,false
get_idle_autokick_time,GET,0,,<class 'int'>,true,api.can_view_idle_autokick_time,false
get_ingame_mods,GET,0,,list[rcon.types.AdminUserType],true,api.can_view_ingame_admins,false
get_kills_discord_webhooks_config,GET,0,,,true,api.can_view_kills_discord_webhooks_config,false
get_live_game_stats,GET,0,,,false,,true
get_live_scoreboard,GET,0,,,false,,true
get_log_line_webhook_config,GET,0,,<class 'rcon.user_config.log_line_webhooks.LogLineWebhookUserConfig'>,true,api.get_log_line_webhook_config,false
get_log_stream_config,GET,0,,,true,api.can_view_log_stream_config,false
get_logs,GET,3,since_min_ago|filter_|by,list[str],true,api.can_view_game_logs,true
get_map,GET,0,,<class 'rcon.maps.Layer'>,true,api.can_view_current_map,false
get_map_history,GET,0,,,false,,false
get_map_rotation,GET,0,,<class 'rcon.types.GetMapRotation'>,true,api.can_view_map_rotation,false
get_map_scoreboard,GET,0,,,false,,false
get_map_sequence,GET,0,,<class 'rcon.types.GetMapSequence'>,true,api.can_view_current_map_sequence,false
get_map_shuffle_enabled,GET,0,,<class 'bool'>,true,api.can_view_map_shuffle_enabled,false
get_maps,GET,0,,list[rcon.maps.Layer],true,api.can_view_all_maps,false
get_max_ping_autokick,GET,0,,<class 'int'>,true,api.can_view_max_ping_autokick,false
get_message_template,GET,1,id,rcon.types.MessageTemplateType | None,true,api.can_view_message_templates,true
get_message_template_categories,GET,0,,list[rcon.types.MessageTemplateCategory],true,api.can_view_message_templates,false
get_message_templates,GET,1,category,list[rcon.types.MessageTemplateType],true,api.can_view_message_templates,true
get_name,GET,0,,<class 'str'>,true,api.can_view_server_name,false
get_name_kick_config,GET,0,,<class 'rcon.user_config.name_kicks.NameKickUserConfig'>,true,api.can_view_name_kick_config,false
get_next_map,GET,0,,<class 'rcon.maps.Layer'>,true,api.can_view_next_map,true
get_objective_rows,GET,0,,typing.List[typing.List[str]],true,api.can_view_current_map,false
get_online_mods,GET,0,,list[rcon.types.AdminUserType],true,api.can_view_online_admins,false
get_own_user_permissions,GET,0,,,false,,false
get_perma_bans,GET,0,,list[rcon.types.GameServerBanType],true,api.can_view_perma_bans,false
get_player_comments,GET,1,player_id,list[rcon.types.PlayerCommentType],true,api.can_view_player_comments,false
get_player_ids,GET,1,as_dict,"dict[str, str] | list[tuple[str, str]]",true,api.can_view_playerids,false
get_player_info,GET,2,player_id|can_fail,,true,api.can_view_player_info,false
get_player_messages,GET,1,player_id,,true,api.can_view_player_messages,false
get_player_profile,GET,2,player_id|num_sessions,rcon.types.PlayerProfileTypeEnriched | None,true,api.can_view_player_profile,false
get_players,GET,0,,list[rcon.types.GetPlayersType],true,api.can_view_get_players,false
get_players_history,GET|POST,12,page|page_size|last_seen_from|last_seen_till|player_id|player_name|blacklisted|is_watched|exact_name_match|ignore_accent|flags|country,,true,api.can_view_player_history,false
get_previous_map,GET,0,,,false,,false
get_profanities,GET,0,,list[str],true,api.can_view_profanities,false
get_public_info,GET,0,,,false,,false
get_queue_length,GET,0,,<class 'int'>,true,api.can_view_queue_length,false
get_rcon_chat_commands_config,GET,0,,,true,api.can_view_rcon_chat_commands_config,false
get_rcon_connection_settings_config,GET,0,,<class 'rcon.user_config.rcon_connection_settings.RconConnectionSettingsUserConfig'>,true,api.can_view_rcon_connection_settings_config,false
get_rcon_server_settings_config,GET,0,,<class 'rcon.user_config.rcon_server_settings.RconServerSettingsUserConfig'>,true,api.can_view_rcon_server_settings_config,false
get_real_vip_config,GET,0,,<class 'rcon.user_config.real_vip.RealVipUserConfig'>,true,api.can_view_real_vip_config,false
get_recent_logs,GET|POST,7,filter_player|filter_action|inclusive_filter|start|end|exact_player_match|exact_action,<class 'rcon.types.ParsedLogsType'>,true,api.can_view_recent_logs,false
get_round_time_remaining,GET,0,,<class 'float'>,true,api.can_view_round_time_remaining,true
get_scoreboard_config,GET,0,,<class 'rcon.user_config.scoreboard.ScoreboardUserConfig'>,true,api.can_view_scorebot_config,false
get_scoreboard_maps,GET,0,,,false,,false
get_scorebot_config,GET,0,,<class 'rcon.user_config.legacy_scorebot.ScorebotUserConfig'>,true,api.can_view_scorebot_config,false
get_seed_vip_config,GET,0,,<class 'rcon.user_config.seed_vip.SeedVIPUserConfig'>,true,api.can_view_seed_vip_config,false
get_server_list,GET,0,,,false,api.can_view_other_crcon_servers,false
